ST,Length
ST520,9957
ST520,16031
ST520,892
ST520,22845
ST6964,10616
ST6964,27744
ST50,13586
ST50,13413
ST50,10644
ST486,21840
ST486,22734
ST50,5975
ST50,10228
ST50,13488
ST50,4645
ST677,7528
ST677,12620
ST677,8948
ST53,25426
ST53,11792
ST3721,5659
ST3721,37456
ST6964,6181
ST6964,24464
ST6964,2571
ST6964,4084
ST6964,15638
ST48,12633
ST48,30787
ST704,4495
ST1030,38712
ST61,29801
ST137,20835
ST61,30042
ST45,10629
ST45,30783
ST53,27518
ST42,28976
ST535,4093
ST42,25468
ST42,7021
ST42,29326
ST6964,21060
ST6964,23951
ST6964,41599
ST61,27554
ST6964,10462
ST6964,30797
ST6964,19827
ST6964,5864
ST6964,10646
ST6964,30805
ST6964,22816
ST6964,21154
ST422,13843
ST422,14980
ST422,11168
ST422,29978
ST42,26572
ST474,28716
ST3676,26568
ST42,26507
ST4492,13832
ST4492,11168
ST4492,15049
ST4492,30075
ST508,28043
ST3610,9868
ST3610,8803
ST3610,46193
ST3610,9390
ST2026,13664
ST520,12727
ST520,11592
ST520,9912
ST520,28047
ST38,30017
ST520,8314
ST520,2844
ST520,17076
ST520,32186
ST6964,5609
ST6964,12760
ST6964,5022
ST50,12709
ST50,13290
ST50,10001
ST2081,1937
ST2392,27558
ST520,28047
ST42,26568
ST42,26568
ST42,26568
ST190,3657
ST190,16782
ST190,3745
ST42,26580
ST530,2415
ST38,28055
ST486,29104
ST6964,15597
ST6964,22779
ST6964,23085
ST6964,19255
ST227,27546
ST48,37629
ST190,1042
ST61,19067
ST61,4959
ST61,27315
ST61,7686
ST45,4454
ST45,29903
ST45,14164
ST486,9652
ST486,10644
ST486,13500
ST6964,2869
ST6964,7918
ST6964,5989
ST6964,7389
ST474,29110
ST227,7869
ST227,24794
ST42,26568
ST42,28049
ST520,28006
ST42,28049
ST4492,10180
ST4492,18690
ST4492,27956
ST42,26516
ST42,26516
ST38,28021
ST6964,6698
ST6964,18244
ST6964,2795
ST6964,5019
ST6964,15367
ST22,12632
ST22,26996
ST227,3047
ST227,19842
ST227,16942
ST6964,5404
ST6964,2071
ST6964,16827
ST3676,5676
ST3676,20448
ST53,11830
ST53,15681
ST53,5980
ST50,14392
ST50,3374
ST50,7984
ST6964,2791
ST6964,7317
ST6964,9901
ST6964,5118
ST42,27515
ST42,26426
ST6964,17829
ST6964,4612
ST6964,4580
ST48,2162
ST48,5117
ST48,13331
ST53,18041
ST53,7520
ST2026,1674
ST61,13053
ST61,27119
ST61,13525
ST61,10644
ST61,28184
ST61,20156
ST61,3032
ST48,9479
ST48,17365
ST48,7968
ST48,2560
ST48,8255
ST48,4222
ST48,4966
ST6964,10646
ST6964,30843
ST53,5302
ST53,5970
ST53,2318
ST53,1880
ST42,19830
ST42,1949
ST42,26374
ST42,881
ST50,2503
ST50,13522
ST50,14755
ST53,28058
ST42,26574
ST42,26572
ST48,3899
ST48,4998
ST48,9018
ST508,28059
ST50,14840
ST50,19213
ST53,1743
ST53,20194
ST50,4037
ST6964,13868
ST6964,22735
ST422,20307
ST422,2492
ST422,16365
ST422,30061
ST42,30205
ST48,30789
ST48,3150
ST48,7446
ST190,28059
ST6964,12633
ST6964,30783
ST6964,2286
ST6964,7525
ST6964,16967
ST6964,15596
ST6964,23021
ST6964,12633
ST6964,30801
ST6964,19993
ST6964,4973
ST50,23337
ST50,16373
ST45,13390
ST45,8623
ST45,11690
ST6964,30783
ST6964,10657
ST6964,16164
ST6964,10505
ST6964,12302
ST2026,3700
ST50,19332
ST50,5597
ST2392,28103
ST21,1715
ST21,18762
ST21,27472
ST21,881
ST61,27401
ST486,27432
ST42,30073
ST61,30044
ST48,4703
ST48,38363
ST42,13841
ST42,15091
ST42,27884
ST42,11168
ST61,20089
ST61,2288
ST42,10614
ST42,13841
ST42,15117
ST42,28043
ST422,27115
ST3676,26253
ST6964,13637
ST6964,2307
ST6964,7829
ST6964,13154
ST12762,27683
ST12762,2236
ST12762,15949
ST422,9884
ST422,29895
ST422,8394
ST422,14700
ST6964,19251
ST6964,10522
ST6964,12256
ST48,7919
ST48,5746
ST48,11466
ST48,2438
ST6964,5983
ST6964,8235
ST6964,10469
ST6964,3083
ST6964,16863
ST6964,14853
ST6964,15852
ST6964,18660
ST6964,13038
ST6964,4963
ST6964,17706
ST6964,2424
ST6964,6024
ST2081,4782
ST520,40601
ST520,11295
ST520,13482
ST6964,6093
ST6964,12721
ST6964,2615
ST12761,12767
ST12761,10971
ST12761,26802
ST12761,10623
ST190,3171
ST190,21493
ST190,9697
ST6964,6111
ST6964,2870
ST6964,20339
ST6964,1503
ST6964,12920
ST6964,6216
ST6964,5188
ST53,15386
ST53,8246
ST53,2428
ST53,9796
ST53,23456
ST53,30073
ST190,30801
ST190,12633
ST48,5165
ST48,38363
ST48,45648
ST677,19605
ST677,4515
ST677,3381
ST6964,15397
ST6964,22868
ST2341,14199
ST2341,7991
ST2341,15122
ST2341,3155
ST50,28861
ST2026,13578
ST50,10478
ST50,23038
ST42,26568
ST6964,16744
ST6964,22795
ST48,25788
ST48,19784
ST6964,4997
ST6964,2226
ST6964,20039
ST474,27548
ST42,2033
ST42,22779
ST42,26195
ST6964,2185
ST6964,15554
ST6964,3846
ST6964,5716
ST6964,18334
ST6964,21047
ST6964,22887
ST486,8342
ST486,11168
ST486,13840
ST486,15232
ST486,19645
ST48,16862
ST48,24648
ST6964,28120
ST6964,10621
ST50,28049
ST4337,15364
ST4337,19074
ST520,29310
ST6964,15356
ST6964,22757
ST21,28047
ST48,45567
ST42,30071
ST53,13586
ST53,13411
ST53,11295
ST61,10601
ST61,11262
ST61,27985
ST61,15088
ST48,2354
ST48,5129
ST48,15511
ST42,26473
ST48,10616
ST48,28283
ST48,4948
ST48,3344
ST48,22741
ST48,6404
ST42,30065
ST508,27548
ST42,31735
ST42,26574
ST48,13027
ST48,5191
ST520,5529
ST520,18674
ST6964,19732
ST6964,23018
ST61,27941
ST38,30065
ST2026,27545
ST61,6949
ST61,5970
ST61,881
ST61,14614
ST61,5799
ST61,17938
ST42,26574
ST53,23704
ST53,14352
ST535,4093
ST61,30037
ST53,14656
ST53,13508
ST53,10657
ST53,28050
ST50,7709
ST50,23644
ST6964,25311
ST6964,19261
ST48,41639
ST61,10634
ST61,28039
ST61,13463
ST61,12711
ST508,12131
ST508,10723
ST508,14372
ST677,8234
ST677,3479
ST677,7069
ST677,8677
ST227,27518
ST520,29935
ST520,27548
ST61,28019
ST520,29905
ST42,26561
ST42,20139
ST42,2652
ST42,26501
ST14186,22678
ST14186,20532
ST14186,10040
ST14186,9848
ST2535,12800
ST2535,1898
ST2535,9355
ST48,28112
ST48,10656
ST53,2439
ST53,11092
ST53,16097
ST6964,41371
ST6964,39139
ST48,10623
ST48,30524
ST422,27722
ST12755,2995
ST61,23488
ST61,13523
ST61,28059
ST8658,45535
ST48,19933
ST48,8085
ST48,38066
ST48,2968
ST190,28955
ST474,27363
ST474,14249
ST474,28053
ST48,3339
ST48,42248
ST45,14041
ST45,11168
ST45,15082
ST61,9359
ST61,1912
ST61,14609
ST61,3185
ST61,4208
ST61,18043
ST42,19033
ST42,7132
ST42,881
ST42,26506
ST42,26510
ST48,41541
ST48,38638
ST21,27542
ST53,40513
ST42,26572
ST53,23463
ST42,26430
ST4492,30077
ST51,4545
ST51,24744
ST42,2017
ST42,22842
ST42,26510
ST61,4061
ST61,26775
ST61,3737
ST61,10420
ST61,14510
ST53,28053
ST53,37369
ST53,28059
ST53,37322
ST53,28071
ST45,1577
ST45,5292
ST45,14660
ST45,3223
ST45,1469
ST45,1690
ST190,3031
ST190,42515
ST6964,13415
ST6964,8623
ST6964,12142
ST53,27116
ST45,1672
ST677,1599
ST4337,15024
ST4337,13833
ST4337,27899
ST4337,11168
ST51,40887
ST48,5954
ST48,5634
ST48,30783
ST474,27554
ST48,11641
ST48,30925
ST48,41709
ST5647,5381
ST38,27726
ST48,45668
ST48,2686
ST48,8526
ST48,15480
ST53,10568
ST53,12902
ST53,15089
ST53,37784
ST53,28966
ST257,27552
ST48,45668
ST48,45668
ST48,12633
ST48,30791
ST48,28435
ST48,7446
ST48,3165
ST48,13922
ST48,16864
ST48,12175
ST53,38315
ST53,3186
ST53,12703
ST53,13463
ST53,7466
ST53,28043
ST45,8623
ST45,13427
ST45,9966
ST53,37256
ST4337,20887
ST4337,8400
ST4337,9845
ST4337,23305
ST2026,6810
ST50,27106
ST45,5073
ST45,9352
ST45,6733
ST45,8903
ST2392,34223
ST422,4426
ST422,21628
ST422,1501
ST486,18843
ST486,3061
ST486,27543
ST486,4354
ST190,45668
ST53,37498
ST21,29949
ST12755,4093
ST53,33945
ST53,14059
ST53,15089
ST53,11168
ST51,35722
ST51,4588
ST53,11646
ST53,2438
ST53,19294
ST2392,27311
ST42,26566
ST61,21138
ST61,9061
ST61,10648
ST61,13477
ST61,13230
ST50,28057
ST53,30801
ST53,12633
ST422,13855
ST422,15096
ST422,11168
ST422,30082
ST38,30071
ST45,11168
ST45,14049
ST45,15252
ST618,28049
ST53,21976
ST53,11832
ST3351,21945
ST3351,11726
ST53,26046
ST53,11972
ST38,28055
ST677,30842
ST53,37266
ST48,45646
ST1919,2415
ST53,41035
ST51,11764
ST51,24214
ST6964,10623
ST6964,30801
ST257,27546
ST257,27548
ST50,28047
ST422,12721
ST422,12633
ST422,13415
ST422,27722
ST4337,27536
ST4337,9851
ST4337,23606
ST53,28936
ST53,28981
ST53,11168
ST42,28972
ST42,28972
ST42,28970
ST38,27728
ST1517,27547
ST3676,26261
ST61,27560
ST474,7701
ST474,26184
ST42,26512
ST42,26568
ST42,26568
ST50,7658
ST50,26791
ST61,48909
ST61,9865
ST50,7576
ST50,7657
ST50,19064
ST50,19113
ST50,3042
ST50,32268
ST2026,29298
ST42,26576
ST48,30801
ST48,12633
ST6964,41683
ST474,8068
ST474,28031
ST474,13867
ST474,15097
ST2357,13053
ST2357,19120
ST2357,10499
ST2357,27303
ST2357,12021
ST2357,1317
ST2357,10644
ST42,26568
ST42,26566
ST45,39740
ST42,26546
ST48,10746
ST48,30783
ST6964,19259
ST6964,2398
ST6964,20124
ST422,11315
ST422,10307
ST422,9015
ST422,30035
ST422,27977
ST45,20202
ST45,19773
ST6964,2858
ST6964,6854
ST6964,19221
ST53,13196
ST53,25409
ST53,28040
ST45,34552
ST6964,25929
ST6964,19303
ST6964,25033
ST6964,19258
ST48,42361
ST48,3264
